,support,itemsets
352,0.01,"frozenset({'Akshaye Khanna', 'Ayesha Takia'})"
353,0.01,"frozenset({'Bobby Deol', 'Akshaye Khanna'})"
354,0.01,"frozenset({'Akshaye Khanna', 'Johnny Lever'})"
355,0.01,"frozenset({'Akshaye Khanna', 'Mallika Sherawat'})"
356,0.01,"frozenset({'Akshaye Khanna', 'Sunil Shetty'})"
357,0.01,"frozenset({'Alok Nath', 'Amrita Rao'})"
358,0.01,"frozenset({'Alok Nath', 'Anupam Kher'})"
359,0.01,"frozenset({'Alok Nath', 'Esha Deol'})"
360,0.01,"frozenset({'Alok Nath', 'Hrithik Roshan'})"
361,0.01,"frozenset({'Alok Nath', 'Saif Ali Khan'})"
362,0.01,"frozenset({'Alok Nath', 'Shahid Kapoor'})"
363,0.01,"frozenset({'Ameesha Patel', 'Anupama Verma'})"
364,0.01,"frozenset({'Asrani', 'Ameesha Patel'})"
365,0.01,"frozenset({'Bobby Deol', 'Ameesha Patel'})"
366,0.01,"frozenset({'Ameesha Patel', 'Gulshan Grover'})"
367,0.01,"frozenset({'Ameesha Patel', 'Jackie Shroff'})"
368,0.01,"frozenset({'Ameesha Patel', 'Johnny Lever'})"
369,0.01,"frozenset({'Asrani', 'Amit Behl'})"
370,0.01,"frozenset({'Krishna Bhatt', 'Amit Behl'})"
371,0.01,"frozenset({'Raja Bherwani', 'Amit Behl'})"
372,0.01,"frozenset({'Bipasha Basu', 'Amitabh Bachchan'})"
373,0.01,"frozenset({'Jaya Bhaduri', 'Amitabh Bachchan'})"
374,0.01,"frozenset({'John Abraham', 'Amitabh Bachchan'})"
375,0.01,"frozenset({'Kajol', 'Amitabh Bachchan'})"
376,0.01,"frozenset({'Priyanka Chopra', 'Amitabh Bachchan'})"
377,0.01,"frozenset({'Shah Rukh Khan', 'Amitabh Bachchan'})"
378,0.01,"frozenset({'Sharda', 'Amitabh Bachchan'})"
379,0.01,"frozenset({'Shatrughan Sinha', 'Amitabh Bachchan'})"
380,0.01,"frozenset({'Shefali Shetty', 'Amitabh Bachchan'})"
381,0.01,"frozenset({'Sudha Chandran', 'Amitabh Bachchan'})"
382,0.01,"frozenset({'Supriya Pilgaonkar', 'Amitabh Bachchan'})"
383,0.01,"frozenset({'Amrish Puri', 'Hrithik Roshan'})"
384,0.01,"frozenset({'Amrish Puri', 'Jackie Shroff'})"
385,0.01,"frozenset({'Kareena Kapoor', 'Amrish Puri'})"
386,0.01,"frozenset({'Amrish Puri', 'Preity Zinta'})"
387,0.01,"frozenset({'Amrish Puri', 'Rani Mukerji'})"
388,0.01,"frozenset({'Salman Khan', 'Amrish Puri'})"
389,0.01,"frozenset({'Saahil Prem', 'Amrit Maghera'})"
390,0.01,"frozenset({'Salah Benlemqawanssa', 'Amrit Maghera'})"
391,0.01,"frozenset({'Govinda', 'Amrita Arora'})"
392,0.01,"frozenset({'Nandini Singh', 'Amrita Arora'})"
393,0.01,"frozenset({'Amrita Arora', 'Sanjay Dutt'})"
394,0.01,"frozenset({'Anupam Kher', 'Amrita Rao'})"
395,0.01,"frozenset({'Amrita Rao', 'Arshad Warsi'})"
396,0.01,"frozenset({'Bipasha Basu', 'Amrita Rao'})"
397,0.01,"frozenset({'Amrita Rao', 'Sanjay Dutt'})"
398,0.03,"frozenset({'Shahid Kapoor', 'Amrita Rao'})"
399,0.01,"frozenset({'Anil Kapoor', 'Anang Desai'})"
400,0.01,"frozenset({'Dinesh Hingoo', 'Anang Desai'})"
401,0.01,"frozenset({'Rohini Hattangadi', 'Anang Desai'})"
402,0.01,"frozenset({'Smita Jaykar', 'Anang Desai'})"
403,0.01,"frozenset({'Anang Desai', 'Vinay Jain'})"
404,0.01,"frozenset({'Bipasha Basu', 'Anil Kapoor'})"
405,0.02,"frozenset({'Fardeen Khan', 'Anil Kapoor'})"
406,0.01,"frozenset({'Jackie Shroff', 'Anil Kapoor'})"
407,0.01,"frozenset({'Anil Kapoor', 'Juhi Chawla'})"
408,0.01,"frozenset({'Madhuri Dixit', 'Anil Kapoor'})"
409,0.01,"frozenset({'Priyanka Chopra', 'Anil Kapoor'})"
410,0.01,"frozenset({'Rekha', 'Anil Kapoor'})"
411,0.01,"frozenset({'Rohini Hattangadi', 'Anil Kapoor'})"
412,0.02,"frozenset({'Salman Khan', 'Anil Kapoor'})"
413,0.01,"frozenset({'Anil Kapoor', 'Vinay Jain'})"
414,0.01,"frozenset({'Waheeda Rehman', 'Anil Kapoor'})"
415,0.01,"frozenset({'Antara Mali', 'Priya Badlani'})"
416,0.01,"frozenset({'Antara Mali', 'Ritesh Deshmukh'})"
417,0.01,"frozenset({'Isha Sharvani', 'Antonia Bernath'})"
418,0.01,"frozenset({'Sushmita Sen', 'Antonia Bernath'})"
419,0.01,"frozenset({'Vivek Oberoi', 'Antonia Bernath'})"
420,0.01,"frozenset({'Dia Mirza', 'Anupam Kher'})"
421,0.01,"frozenset({'Anupam Kher', 'Emraan Hashmi'})"
422,0.01,"frozenset({'Esha Deol', 'Anupam Kher'})"
423,0.01,"frozenset({'Anupam Kher', 'Indraneel'})"
424,0.01,"frozenset({'Anupam Kher', 'Preity Zinta'})"
425,0.01,"frozenset({'Reema Sen', 'Anupam Kher'})"
426,0.01,"frozenset({'Salman Khan', 'Anupam Kher'})"
427,0.01,"frozenset({'Shahid Kapoor', 'Anupam Kher'})"
428,0.01,"frozenset({'Sharat Saxena', 'Anupam Kher'})"
429,0.01,"frozenset({'Anupam Kher', 'Shriya Saran'})"
430,0.01,"frozenset({'Sunny Deol', 'Anupam Kher'})"
431,0.01,"frozenset({'Sushmita Sen', 'Anupam Kher'})"
432,0.01,"frozenset({'Tabu', 'Anupam Kher'})"
433,0.01,"frozenset({'Jackie Shroff', 'Anupama Verma'})"
434,0.01,"frozenset({'M.K. Raina', 'Anushka Sharma'})"
435,0.01,"frozenset({'Shah Rukh Khan', 'Anushka Sharma'})"
436,0.01,"frozenset({'Vinay Pathak', 'Anushka Sharma'})"
437,0.01,"frozenset({'Aparna Kumesh', 'Bhumika Puri'})"
438,0.01,"frozenset({'Chaitanya Bhosle', 'Aparna Kumesh'})"
439,0.01,"frozenset({'Sherrin Verghese', 'Aparna Kumesh'})"
440,0.01,"frozenset({'Fardeen Khan', 'Apoorva Agnihotri'})"
441,0.01,"frozenset({'Reema Sen', 'Apoorva Agnihotri'})"
442,0.01,"frozenset({'Suman Ranganathan', 'Apoorva Agnihotri'})"
443,0.01,"frozenset({'Gayatri Patel Bahl', 'Aqib Afzaal'})"
444,0.01,"frozenset({'Javed Akhtar', 'Arbaaz Khan'})"
445,0.01,"frozenset({'Kabir Bedi', 'Arbaaz Khan'})"
446,0.01,"frozenset({'Raima Sen', 'Arbaaz Khan'})"
447,0.01,"frozenset({'Arbaaz Khan', 'Randeep Hooda'})"
448,0.01,"frozenset({'Arbaaz Khan', 'Sonya Jehan'})"
449,0.01,"frozenset({'Arbaaz Khan', 'Zulfi Sayed'})"
450,0.01,"frozenset({'Gracy Singh', 'Armaan Shahabi'})"
451,0.01,"frozenset({'Naseeruddin Shah', 'Arshad Warsi'})"
452,0.01,"frozenset({'Rekha', 'Arshad Warsi'})"
453,0.01,"frozenset({'Arshad Warsi', 'Sanjay Dutt'})"
454,0.01,"frozenset({'Shahid Kapoor', 'Arshad Warsi'})"
455,0.01,"frozenset({'Suman Ranganathan', 'Arshad Warsi'})"
