Year,Title,Director,Cast,Genre
1923,Minal Devi a.k.a. The Sin Redeemed,Kanjibhai Rathod,"Khalil, Miss Moti, Tara",Social
1923,Noorjehan a.k.a. Light Of The World a.k.a. Nurjehan,J. J. Madan,"Patience Cooper, Dadibhai Sarkari, Manchersha Chapgar, Charles Creed, Ezra Mir, Albertini",Biopic Historical
1923,Raja Gopichand,,,Legend
1923,Raja Mayurdhwaja,,"Madanrai Vakil, Asooji",Mythology
1923,Samudra Madanam,R. S. Prakash,,Mythology
1923,Sati Narmada,"Kanjibhai Rathod, Narayan Deware",,
1923,Sati Veermata a.k.a. Pious Veermata,S. N. Patankar,,Historical
1923,Savitri a.k.a. Savitri E Satyvan Savitri Satyvan,"Giorgio Mannini, J. J. Madan","Rina De Liguoro, Angelo Ferrari, Gianna Terribili-Gonzales, Bruto Castellani, Lydianne",Mythology
1923,Shishupal Vadha a.k.a. The Killing Of Shishupal,G. V. Sane,"Bhaurao Datar, Sane, Bachu Pawar, Sonabai",Mythology
1923,Shri Balkrishna a.k.a. The Child Krishna,"Kanjibhai Rathod, Narayan Devare",,Religious
1923,Shri Krishna Avatar,Baburao Painter,V. Shantaram,Religious
1923,Shri Krishna Bhakta Peepaji,S. N. Patankar,,religious
1923,Shri Krishna Satyabhama a.k.a. Krishna Satyabhama a.k.a. Samantak Mani,S. N. Patankar,"Tarabai Koregaonkar, Thatte",Mythology
1923,Shuk Rambha a.k.a. Shukh Deo,Kanjibhai Rathod,"Khalil, Tara",Fantasy
1923,Silent Curse a.k.a. Sati Ka Shaap,Manilal Joshi,,Legend
1923,Sinhagad,Baburao Painter,"Baburao Painter, V. Shantaram, D. Sarpotdar, Kamaladevi, Zhunzharrao Pawar, Balasaab Yadav, Nalini, K. P. Bhave, Baburao Painter, G. R. Mane",Historical Drama
1923,Soul Of A Slave,Hemchandra Mukherjee,"Ahindra Chowdhury, Gokul Nag, Prafulla Ghosh, Jane Richards, Adele Willinsonworth, Hemchandra Mukherjee, Jugal Bose, Jyotish Mitra, Sudhir",Costume Drama
1923,The Catechist Of Kil Arni,"R. S. Prakash, Thomas Gavin Duffy",Thomas Gavin Duffy,religious
1923,Vaman Avatar a.k.a. Raja Bali,S. N. Patankar,,Mythology
1923,Vanraj Chavdo a.k.a. Vanraj Chavda,,,Historical Legend
1923,Veer Bhimsen,Kanjibhai Rathod,"Miss Moti, Tara, Raja Sandow, Sakina, Savita",Mythology
1923,Vratrasoor Vadha,,,Mythology
1923,Yayati,Dhirendranath Ganguly,,religious
1924,Ashwathama,Dadasaheb Phalke,"Bhaurao Datar, Dada Pendse, Gotiram, Madhav Malusare",Mythology
1924,Atma Bal a.k.a. Sundar Kamdar,,"Elizer, Asooji",
1924,Bal Shringee or Bal Shringi,,,Mythology
1924,Bali Yagna,V. K. Pattani,"Nanubhai, Batukbhai Vaidya",Mythology
1924,Bali Yagna a.k.a. Self-surrender At The Feet of the Master,Kanjibhai Rathod,,Mythology
1924,Bismi Sadi a.k.a. Twentieth Century,Homi Master,"Raja Sandow, Miss Moti, Noor Mohammed Charlie",Social
1924,Bhakta Sudhanva,,,religious
1924,Chandan Malayagiri,Naval Gandhi,,
1924,Chandragupta And Mahatma Chanakya a.k.a. Chandragupta Chanakya,,"Jilloobai, Asooji",Historical
1924,Chandranath,Naresh Mitra,"Durgadas Bannerjee, Nirmalbala, Naresh Mitra, Jogesh Chowdhury",Social
1924,Datta Janma a.k.a. Sati Ansuya,G. V. Sane,"Bhaurao Datar, Bachu, Ashraben, Motiram",religious
1924,Dhruva Charitra a.k.a. The Story Of Dhruva,Jyotish Bannerjee,"Patience Cooper, Dadabhai Sarkari, Signor P. Mannelli, Signorina F. Mannelli, James Mcgrath, Master Mohan, M. Monilal, Agha Hashar Kashmiri",Mythology
1924,Draupadi Bhagya a.k.a. Draupadi's Fate,Raghupathy S. Prakasa,,Mythology
1924,Gajendra Moksham a.k.a. Gajendra's Nirvana,Raghupathy S. Prakasa,,Mythology
1924,Gomata a.k.a. Sacred Cow,,,religious
1924,Gul-E-Bakavali,Kanjibhai Rathod,"Zubeida, Fatma Begum, Khalil, Sultana, Noor Mohammed Charlie, Abdul Ghani, Miss Moti, Jamuna Sr.",Legend
1924,Ishq No Umedwar,,,
1924,Jayadratha Vadha,G. V. Sane,"Bhaurao Datar, Bachu Pawar",Mythology
1924,Kala Naag a.k.a. Triumph Of Justice a.k.a. Kalyug Ki Sati,Homi Master,"Zubeida, Fatma Begum, Khalil, Sultana, Ibrahim, Tara, Miss Moti, Savita",Crime Thriller
